PLAYER,PICK,TEAM,YEAR,G,MP,FG,FGA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,ADVANCED_WS,ADVANCED_BPM,ADVANCED_VORP,PER
Karl-Anthony Towns,1,MIN,2015,82.0,32.0,7.6,14.1,2.7,3.4,2.8,7.7,2.0,0.7,1.7,2.2,3.0,18.3,75.0,4.5,31.8,20.1
D'Angelo Russell,2,LAL,2015,80.0,28.2,4.9,12.0,1.8,2.4,0.6,2.8,3.3,1.2,0.2,2.5,1.8,13.2,24.6,0.7,11.8,10.6
Jahlil Okafor,3,PHI,2015,53.0,30.0,7.5,14.7,2.5,3.7,2.3,4.7,1.2,0.4,1.2,2.3,2.6,17.5,7.2,-2.0,0.0,15.4
Kristaps Porziņģis,4,NYK,2015,72.0,28.4,5.2,12.3,2.8,3.3,1.8,5.5,1.3,0.7,1.9,1.7,2.8,14.3,42.7,2.5,16.1,15.1
Mario Hezonja,5,ORL,2015,79.0,17.9,2.3,5.3,0.6,0.7,0.4,1.9,1.4,0.5,0.2,1.2,1.6,6.1,3.2,-2.8,-1.2,8.2
Willie Cauley-Stein,6,SAC,2015,66.0,21.4,2.9,5.1,1.2,1.9,2.0,3.3,0.6,0.7,1.0,0.7,2.2,7.0,23.3,-0.1,4.4,14.3
Emmanuel Mudiay,7,DEN,2015,68.0,30.4,4.8,13.3,2.1,3.1,0.5,2.9,5.5,1.0,0.5,3.2,2.1,12.8,-0.2,-3.2,-2.2,8.2
Stanley Johnson,8,DET,2015,73.0,23.1,3.1,8.2,1.1,1.4,0.8,3.4,1.6,0.8,0.2,1.6,2.4,8.1,6.9,-2.7,-1.6,7.0
Frank Kaminsky,9,CHO,2015,81.0,21.1,2.7,6.5,1.3,1.8,0.9,3.3,1.2,0.5,0.5,0.7,1.6,7.5,15.9,-0.2,3.7,10.9
Justise Winslow,10,MIA,2015,78.0,28.6,2.5,5.9,1.0,1.5,1.0,4.1,1.5,0.9,0.3,1.2,2.4,6.4,8.2,-2.1,-0.3,6.8
Myles Turner,11,IND,2015,60.0,22.8,4.4,8.8,1.5,2.0,1.1,4.4,0.7,0.4,1.4,1.1,2.6,10.3,44.0,0.8,11.6,13.4
Trey Lyles,12,UTA,2015,80.0,17.3,2.4,5.5,0.7,1.0,0.7,3.0,0.7,0.3,0.2,0.8,1.4,6.1,19.4,-1.0,2.5,9.0
Devin Booker,13,PHO,2015,76.0,27.7,4.8,11.4,2.8,3.4,0.4,2.1,2.6,0.6,0.3,2.1,3.0,13.8,45.1,1.2,16.2,10.1
Cameron Payne,14,OKC,2015,57.0,12.2,2.0,4.9,0.3,0.4,0.2,1.3,1.9,0.6,0.1,0.8,1.4,5.0,11.7,-0.6,2.5,10.7
